StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-04-01T11:30:00Z,APXMIDP,2026-04-01,26,98.70,3321.200
2026-04-01T11:30:00Z,N2EXMIDP,2026-04-01,26,0.00,0.000
2026-04-01T11:00:00Z,APXMIDP,2026-04-01,25,103.12,3057.050
2026-04-01T11:00:00Z,N2EXMIDP,2026-04-01,25,0.00,0.000
2026-04-01T10:30:00Z,APXMIDP,2026-04-01,24,103.09,2628.000
2026-04-01T10:30:00Z,N2EXMIDP,2026-04-01,24,0.00,0.000
2026-04-01T10:00:00Z,APXMIDP,2026-04-01,23,105.05,3154.550
2026-04-01T10:00:00Z,N2EXMIDP,2026-04-01,23,0.00,0.000
2026-04-01T09:30:00Z,APXMIDP,2026-04-01,22,109.64,3802.800
2026-04-01T09:30:00Z,N2EXMIDP,2026-04-01,22,0.00,0.000
2026-04-01T09:00:00Z,APXMIDP,2026-04-01,21,110.59,3946.300
2026-04-01T09:00:00Z,N2EXMIDP,2026-04-01,21,0.00,0.000
2026-04-01T08:30:00Z,APXMIDP,2026-04-01,20,111.06,3195.850
2026-04-01T08:30:00Z,N2EXMIDP,2026-04-01,20,0.00,0.000
2026-04-01T08:00:00Z,APXMIDP,2026-04-01,19,111.06,3479.900
2026-04-01T08:00:00Z,N2EXMIDP,2026-04-01,19,0.00,0.000
2026-04-01T07:30:00Z,APXMIDP,2026-04-01,18,127.02,2500.200
2026-04-01T07:30:00Z,N2EXMIDP,2026-04-01,18,0.00,0.000
2026-04-01T07:00:00Z,APXMIDP,2026-04-01,17,127.22,2646.100
2026-04-01T07:00:00Z,N2EXMIDP,2026-04-01,17,0.00,0.000
2026-04-01T06:30:00Z,APXMIDP,2026-04-01,16,155.12,2239.600
2026-04-01T06:30:00Z,N2EXMIDP,2026-04-01,16,0.00,0.000
2026-04-01T06:00:00Z,APXMIDP,2026-04-01,15,149.12,2251.550
2026-04-01T06:00:00Z,N2EXMIDP,2026-04-01,15,0.00,0.000
2026-04-01T05:30:00Z,APXMIDP,2026-04-01,14,121.70,2717.650
2026-04-01T05:30:00Z,N2EXMIDP,2026-04-01,14,0.00,0.000
2026-04-01T05:00:00Z,APXMIDP,2026-04-01,13,109.08,3032.600
2026-04-01T05:00:00Z,N2EXMIDP,2026-04-01,13,0.00,0.000
2026-04-01T04:30:00Z,APXMIDP,2026-04-01,12,93.94,2346.950
2026-04-01T04:30:00Z,N2EXMIDP,2026-04-01,12,0.00,0.000
2026-04-01T04:00:00Z,APXMIDP,2026-04-01,11,96.00,2507.250
2026-04-01T04:00:00Z,N2EXMIDP,2026-04-01,11,0.00,0.000
2026-04-01T03:30:00Z,APXMIDP,2026-04-01,10,90.97,2016.100
2026-04-01T03:30:00Z,N2EXMIDP,2026-04-01,10,0.00,0.000
2026-04-01T03:00:00Z,APXMIDP,2026-04-01,9,88.92,1873.500
2026-04-01T03:00:00Z,N2EXMIDP,2026-04-01,9,0.00,0.000
2026-04-01T02:30:00Z,APXMIDP,2026-04-01,8,89.37,1586.150
2026-04-01T02:30:00Z,N2EXMIDP,2026-04-01,8,0.00,0.000
2026-04-01T02:00:00Z,APXMIDP,2026-04-01,7,90.70,1755.100
2026-04-01T02:00:00Z,N2EXMIDP,2026-04-01,7,0.00,0.000
2026-04-01T01:30:00Z,APXMIDP,2026-04-01,6,95.23,2256.450
2026-04-01T01:30:00Z,N2EXMIDP,2026-04-01,6,0.00,0.000
2026-04-01T01:00:00Z,APXMIDP,2026-04-01,5,97.21,1873.300
2026-04-01T01:00:00Z,N2EXMIDP,2026-04-01,5,0.00,0.000
2026-04-01T00:30:00Z,APXMIDP,2026-04-01,4,98.58,1915.850
2026-04-01T00:30:00Z,N2EXMIDP,2026-04-01,4,0.00,0.000
2026-04-01T00:00:00Z,APXMIDP,2026-04-01,3,92.88,1690.000
2026-04-01T00:00:00Z,N2EXMIDP,2026-04-01,3,0.00,0.000
2026-03-31T23:30:00Z,APXMIDP,2026-04-01,2,101.36,1966.100
2026-03-31T23:30:00Z,N2EXMIDP,2026-04-01,2,0.00,0.000
2026-03-31T23:00:00Z,APXMIDP,2026-04-01,1,103.92,2090.800
2026-03-31T23:00:00Z,N2EXMIDP,2026-04-01,1,0.00,0.000
2026-03-31T22:30:00Z,APXMIDP,2026-03-31,48,100.57,2123.750
2026-03-31T22:30:00Z,N2EXMIDP,2026-03-31,48,0.00,0.000
2026-03-31T22:00:00Z,APXMIDP,2026-03-31,47,102.30,2277.200
2026-03-31T22:00:00Z,N2EXMIDP,2026-03-31,47,0.00,0.000
2026-03-31T21:30:00Z,APXMIDP,2026-03-31,46,115.03,3580.600
2026-03-31T21:30:00Z,N2EXMIDP,2026-03-31,46,0.00,0.000
2026-03-31T21:00:00Z,APXMIDP,2026-03-31,45,119.26,4044.900
2026-03-31T21:00:00Z,N2EXMIDP,2026-03-31,45,0.00,0.000
2026-03-31T20:30:00Z,APXMIDP,2026-03-31,44,131.17,3072.250
2026-03-31T20:30:00Z,N2EXMIDP,2026-03-31,44,0.00,0.000
2026-03-31T20:00:00Z,APXMIDP,2026-03-31,43,143.76,3239.150
2026-03-31T20:00:00Z,N2EXMIDP,2026-03-31,43,0.00,0.000
2026-03-31T19:30:00Z,APXMIDP,2026-03-31,42,142.29,3862.450
2026-03-31T19:30:00Z,N2EXMIDP,2026-03-31,42,0.00,0.000
2026-03-31T19:00:00Z,APXMIDP,2026-03-31,41,143.58,3980.200
2026-03-31T19:00:00Z,N2EXMIDP,2026-03-31,41,0.00,0.000
2026-03-31T18:30:00Z,APXMIDP,2026-03-31,40,149.92,3231.850
2026-03-31T18:30:00Z,N2EXMIDP,2026-03-31,40,0.00,0.000
2026-03-31T18:00:00Z,APXMIDP,2026-03-31,39,147.70,3388.400
2026-03-31T18:00:00Z,N2EXMIDP,2026-03-31,39,0.00,0.000
2026-03-31T17:30:00Z,APXMIDP,2026-03-31,38,143.95,3810.650
2026-03-31T17:30:00Z,N2EXMIDP,2026-03-31,38,0.00,0.000
2026-03-31T17:00:00Z,APXMIDP,2026-03-31,37,145.66,3839.300
2026-03-31T17:00:00Z,N2EXMIDP,2026-03-31,37,0.00,0.000
2026-03-31T16:30:00Z,APXMIDP,2026-03-31,36,121.69,2939.150
2026-03-31T16:30:00Z,N2EXMIDP,2026-03-31,36,0.00,0.000
2026-03-31T16:00:00Z,APXMIDP,2026-03-31,35,112.53,3507.050
2026-03-31T16:00:00Z,N2EXMIDP,2026-03-31,35,0.00,0.000
2026-03-31T15:30:00Z,APXMIDP,2026-03-31,34,99.59,4096.950
2026-03-31T15:30:00Z,N2EXMIDP,2026-03-31,34,0.00,0.000
2026-03-31T15:00:00Z,APXMIDP,2026-03-31,33,93.61,3420.050
2026-03-31T15:00:00Z,N2EXMIDP,2026-03-31,33,0.00,0.000
2026-03-31T14:30:00Z,APXMIDP,2026-03-31,32,96.71,4132.050
2026-03-31T14:30:00Z,N2EXMIDP,2026-03-31,32,0.00,0.000
2026-03-31T14:00:00Z,APXMIDP,2026-03-31,31,95.56,3270.400
2026-03-31T14:00:00Z,N2EXMIDP,2026-03-31,31,0.00,0.000
2026-03-31T13:30:00Z,APXMIDP,2026-03-31,30,95.28,4753.150
2026-03-31T13:30:00Z,N2EXMIDP,2026-03-31,30,0.00,0.000
2026-03-31T13:00:00Z,APXMIDP,2026-03-31,29,93.96,3937.550
2026-03-31T13:00:00Z,N2EXMIDP,2026-03-31,29,0.00,0.000
2026-03-31T12:30:00Z,APXMIDP,2026-03-31,28,94.54,4238.550
2026-03-31T12:30:00Z,N2EXMIDP,2026-03-31,28,0.00,0.000
2026-03-31T12:00:00Z,APXMIDP,2026-03-31,27,97.45,3902.150
2026-03-31T12:00:00Z,N2EXMIDP,2026-03-31,27,0.00,0.000
2026-03-31T11:30:00Z,APXMIDP,2026-03-31,26,102.89,2834.750
2026-03-31T11:30:00Z,N2EXMIDP,2026-03-31,26,0.00,0.000
2026-03-31T11:00:00Z,APXMIDP,2026-03-31,25,112.71,3433.100
2026-03-31T11:00:00Z,N2EXMIDP,2026-03-31,25,0.00,0.000
2026-03-31T10:30:00Z,APXMIDP,2026-03-31,24,112.86,3332.900
2026-03-31T10:30:00Z,N2EXMIDP,2026-03-31,24,0.00,0.000
