StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-06-18T11:00:00Z,APXMIDP,2026-06-18,25,91.77,2536.450
2026-06-18T10:30:00Z,APXMIDP,2026-06-18,24,94.47,2046.000
2026-06-18T10:30:00Z,N2EXMIDP,2026-06-18,24,0.00,0.000
2026-06-18T10:00:00Z,APXMIDP,2026-06-18,23,99.41,2215.750
2026-06-18T10:00:00Z,N2EXMIDP,2026-06-18,23,0.00,0.000
2026-06-18T09:30:00Z,APXMIDP,2026-06-18,22,104.21,2696.200
2026-06-18T09:30:00Z,N2EXMIDP,2026-06-18,22,0.00,0.000
2026-06-18T09:00:00Z,APXMIDP,2026-06-18,21,103.00,2594.100
2026-06-18T09:00:00Z,N2EXMIDP,2026-06-18,21,0.00,0.000
2026-06-18T08:30:00Z,APXMIDP,2026-06-18,20,107.19,2613.800
2026-06-18T08:30:00Z,N2EXMIDP,2026-06-18,20,0.00,0.000
2026-06-18T08:00:00Z,APXMIDP,2026-06-18,19,107.60,2354.000
2026-06-18T08:00:00Z,N2EXMIDP,2026-06-18,19,0.00,0.000
2026-06-18T07:30:00Z,APXMIDP,2026-06-18,18,109.25,1693.600
2026-06-18T07:30:00Z,N2EXMIDP,2026-06-18,18,0.00,0.000
2026-06-18T07:00:00Z,APXMIDP,2026-06-18,17,109.92,1984.850
2026-06-18T07:00:00Z,N2EXMIDP,2026-06-18,17,0.00,0.000
2026-06-18T06:30:00Z,APXMIDP,2026-06-18,16,119.01,2088.350
2026-06-18T06:30:00Z,N2EXMIDP,2026-06-18,16,0.00,0.000
2026-06-18T06:00:00Z,APXMIDP,2026-06-18,15,116.94,1987.200
2026-06-18T06:00:00Z,N2EXMIDP,2026-06-18,15,0.00,0.000
2026-06-18T05:30:00Z,APXMIDP,2026-06-18,14,120.62,2136.750
2026-06-18T05:30:00Z,N2EXMIDP,2026-06-18,14,0.00,0.000
2026-06-18T05:00:00Z,APXMIDP,2026-06-18,13,117.28,1392.850
2026-06-18T05:00:00Z,N2EXMIDP,2026-06-18,13,0.00,0.000
2026-06-18T04:30:00Z,APXMIDP,2026-06-18,12,106.71,1991.450
2026-06-18T04:30:00Z,N2EXMIDP,2026-06-18,12,0.00,0.000
2026-06-18T04:00:00Z,APXMIDP,2026-06-18,11,114.07,1521.500
2026-06-18T04:00:00Z,N2EXMIDP,2026-06-18,11,0.00,0.000
2026-06-18T03:30:00Z,APXMIDP,2026-06-18,10,99.31,1484.700
