StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-03-24T11:30:00Z,APXMIDP,2026-03-24,24,68.11,2643.250
2026-03-24T11:30:00Z,N2EXMIDP,2026-03-24,24,0.00,0.000
2026-03-24T11:00:00Z,APXMIDP,2026-03-24,23,66.71,2718.950
2026-03-24T11:00:00Z,N2EXMIDP,2026-03-24,23,0.00,0.000
2026-03-24T10:30:00Z,APXMIDP,2026-03-24,22,59.16,2743.900
2026-03-24T10:30:00Z,N2EXMIDP,2026-03-24,22,0.00,0.000
2026-03-24T10:00:00Z,APXMIDP,2026-03-24,21,57.71,2582.200
2026-03-24T10:00:00Z,N2EXMIDP,2026-03-24,21,0.00,0.000
2026-03-24T09:30:00Z,APXMIDP,2026-03-24,20,52.17,2295.950
2026-03-24T09:30:00Z,N2EXMIDP,2026-03-24,20,0.00,0.000
2026-03-24T09:00:00Z,APXMIDP,2026-03-24,19,51.93,2312.650
2026-03-24T09:00:00Z,N2EXMIDP,2026-03-24,19,0.00,0.000
2026-03-24T08:30:00Z,APXMIDP,2026-03-24,18,55.01,2547.150
2026-03-24T08:30:00Z,N2EXMIDP,2026-03-24,18,0.00,0.000
2026-03-24T08:00:00Z,APXMIDP,2026-03-24,17,60.97,2711.000
2026-03-24T08:00:00Z,N2EXMIDP,2026-03-24,17,0.00,0.000
2026-03-24T07:30:00Z,APXMIDP,2026-03-24,16,65.45,2850.500
2026-03-24T07:30:00Z,N2EXMIDP,2026-03-24,16,0.00,0.000
2026-03-24T07:00:00Z,APXMIDP,2026-03-24,15,60.79,3196.100
2026-03-24T07:00:00Z,N2EXMIDP,2026-03-24,15,0.00,0.000
2026-03-24T06:30:00Z,APXMIDP,2026-03-24,14,67.26,2816.600
2026-03-24T06:30:00Z,N2EXMIDP,2026-03-24,14,0.00,0.000
2026-03-24T06:00:00Z,APXMIDP,2026-03-24,13,52.49,2658.900
2026-03-24T06:00:00Z,N2EXMIDP,2026-03-24,13,0.00,0.000
2026-03-24T05:30:00Z,APXMIDP,2026-03-24,12,43.32,2852.300
2026-03-24T05:30:00Z,N2EXMIDP,2026-03-24,12,0.00,0.000
2026-03-24T05:00:00Z,APXMIDP,2026-03-24,11,30.03,2447.350
2026-03-24T05:00:00Z,N2EXMIDP,2026-03-24,11,0.00,0.000
2026-03-24T04:30:00Z,APXMIDP,2026-03-24,10,28.59,2236.100
2026-03-24T04:30:00Z,N2EXMIDP,2026-03-24,10,0.00,0.000
