StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-05-11T11:30:00Z,APXMIDP,2026-05-11,26,122.39,3472.400
2026-05-11T11:30:00Z,N2EXMIDP,2026-05-11,26,0.00,0.000
2026-05-11T11:00:00Z,APXMIDP,2026-05-11,25,119.98,3407.350
2026-05-11T11:00:00Z,N2EXMIDP,2026-05-11,25,0.00,0.000
2026-05-11T10:30:00Z,APXMIDP,2026-05-11,24,109.51,2673.350
2026-05-11T10:30:00Z,N2EXMIDP,2026-05-11,24,0.00,0.000
2026-05-11T10:00:00Z,APXMIDP,2026-05-11,23,108.50,3156.550
2026-05-11T10:00:00Z,N2EXMIDP,2026-05-11,23,0.00,0.000
2026-05-11T09:30:00Z,APXMIDP,2026-05-11,22,100.48,3399.900
2026-05-11T09:30:00Z,N2EXMIDP,2026-05-11,22,0.00,0.000
2026-05-11T09:00:00Z,APXMIDP,2026-05-11,21,94.63,3290.000
2026-05-11T09:00:00Z,N2EXMIDP,2026-05-11,21,0.00,0.000
2026-05-11T08:30:00Z,APXMIDP,2026-05-11,20,97.62,3030.850
2026-05-11T08:30:00Z,N2EXMIDP,2026-05-11,20,0.00,0.000
2026-05-11T08:00:00Z,APXMIDP,2026-05-11,19,98.18,2939.800
2026-05-11T08:00:00Z,N2EXMIDP,2026-05-11,19,0.00,0.000
2026-05-11T07:30:00Z,APXMIDP,2026-05-11,18,111.02,3008.400
2026-05-11T07:30:00Z,N2EXMIDP,2026-05-11,18,0.00,0.000
2026-05-11T07:00:00Z,APXMIDP,2026-05-11,17,113.30,2597.500
2026-05-11T07:00:00Z,N2EXMIDP,2026-05-11,17,0.00,0.000
2026-05-11T06:30:00Z,APXMIDP,2026-05-11,16,116.80,2475.200
2026-05-11T06:30:00Z,N2EXMIDP,2026-05-11,16,0.00,0.000
2026-05-11T06:00:00Z,APXMIDP,2026-05-11,15,110.35,2099.700
2026-05-11T06:00:00Z,N2EXMIDP,2026-05-11,15,0.00,0.000
2026-05-11T05:30:00Z,APXMIDP,2026-05-11,14,106.49,1686.350
2026-05-11T05:30:00Z,N2EXMIDP,2026-05-11,14,0.00,0.000
