StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-04-17T11:30:00Z,APXMIDP,2026-04-17,26,23.50,3522.750
2026-04-17T11:30:00Z,N2EXMIDP,2026-04-17,26,0.00,0.000
2026-04-17T11:00:00Z,APXMIDP,2026-04-17,25,24.43,3348.850
2026-04-17T11:00:00Z,N2EXMIDP,2026-04-17,25,0.00,0.000
2026-04-17T10:30:00Z,APXMIDP,2026-04-17,24,24.51,2804.350
2026-04-17T10:30:00Z,N2EXMIDP,2026-04-17,24,0.00,0.000
2026-04-17T10:00:00Z,APXMIDP,2026-04-17,23,30.16,2834.500
2026-04-17T10:00:00Z,N2EXMIDP,2026-04-17,23,0.00,0.000
2026-04-17T09:30:00Z,APXMIDP,2026-04-17,22,44.05,3042.800
2026-04-17T09:30:00Z,N2EXMIDP,2026-04-17,22,0.00,0.000
2026-04-17T09:00:00Z,APXMIDP,2026-04-17,21,51.35,3371.050
2026-04-17T09:00:00Z,N2EXMIDP,2026-04-17,21,0.00,0.000
2026-04-17T08:30:00Z,APXMIDP,2026-04-17,20,54.31,3241.850
2026-04-17T08:30:00Z,N2EXMIDP,2026-04-17,20,0.00,0.000
2026-04-17T08:00:00Z,APXMIDP,2026-04-17,19,52.87,3167.700
2026-04-17T08:00:00Z,N2EXMIDP,2026-04-17,19,0.00,0.000
2026-04-17T07:30:00Z,APXMIDP,2026-04-17,18,78.57,3377.150
2026-04-17T07:30:00Z,N2EXMIDP,2026-04-17,18,0.00,0.000
2026-04-17T07:00:00Z,APXMIDP,2026-04-17,17,87.96,2672.600
2026-04-17T07:00:00Z,N2EXMIDP,2026-04-17,17,0.00,0.000
2026-04-17T06:30:00Z,APXMIDP,2026-04-17,16,103.55,2882.550
2026-04-17T06:30:00Z,N2EXMIDP,2026-04-17,16,0.00,0.000
2026-04-17T06:00:00Z,APXMIDP,2026-04-17,15,91.79,2599.000
2026-04-17T06:00:00Z,N2EXMIDP,2026-04-17,15,0.00,0.000
2026-04-17T05:30:00Z,APXMIDP,2026-04-17,14,112.68,2223.450
2026-04-17T05:30:00Z,N2EXMIDP,2026-04-17,14,0.00,0.000
2026-04-17T05:00:00Z,APXMIDP,2026-04-17,13,103.09,1973.700
2026-04-17T05:00:00Z,N2EXMIDP,2026-04-17,13,0.00,0.000
2026-04-17T04:30:00Z,APXMIDP,2026-04-17,12,98.96,1848.500
2026-04-17T04:30:00Z,N2EXMIDP,2026-04-17,12,0.00,0.000
2026-04-17T04:00:00Z,APXMIDP,2026-04-17,11,94.68,1926.150
2026-04-17T04:00:00Z,N2EXMIDP,2026-04-17,11,0.00,0.000
2026-04-17T03:30:00Z,APXMIDP,2026-04-17,10,88.38,1879.150
2026-04-17T03:30:00Z,N2EXMIDP,2026-04-17,10,0.00,0.000
2026-04-17T03:00:00Z,APXMIDP,2026-04-17,9,87.58,1724.750
2026-04-17T03:00:00Z,N2EXMIDP,2026-04-17,9,0.00,0.000
2026-04-17T02:30:00Z,APXMIDP,2026-04-17,8,83.00,1489.700
2026-04-17T02:30:00Z,N2EXMIDP,2026-04-17,8,0.00,0.000
2026-04-17T02:00:00Z,APXMIDP,2026-04-17,7,85.82,1455.350
2026-04-17T02:00:00Z,N2EXMIDP,2026-04-17,7,0.00,0.000
2026-04-17T01:30:00Z,APXMIDP,2026-04-17,6,85.93,1745.400
2026-04-17T01:30:00Z,N2EXMIDP,2026-04-17,6,0.00,0.000
2026-04-17T01:00:00Z,APXMIDP,2026-04-17,5,90.38,1757.450
2026-04-17T01:00:00Z,N2EXMIDP,2026-04-17,5,0.00,0.000
2026-04-17T00:30:00Z,APXMIDP,2026-04-17,4,93.27,1852.650
2026-04-17T00:30:00Z,N2EXMIDP,2026-04-17,4,0.00,0.000
2026-04-17T00:00:00Z,APXMIDP,2026-04-17,3,98.77,2188.850
2026-04-17T00:00:00Z,N2EXMIDP,2026-04-17,3,0.00,0.000
2026-04-16T23:30:00Z,APXMIDP,2026-04-17,2,102.03,2322.050
2026-04-16T23:30:00Z,N2EXMIDP,2026-04-17,2,0.00,0.000
2026-04-16T23:00:00Z,APXMIDP,2026-04-17,1,102.18,2658.650
2026-04-16T23:00:00Z,N2EXMIDP,2026-04-17,1,0.00,0.000
2026-04-16T22:30:00Z,APXMIDP,2026-04-16,48,103.34,2821.250
2026-04-16T22:30:00Z,N2EXMIDP,2026-04-16,48,0.00,0.000
2026-04-16T22:00:00Z,APXMIDP,2026-04-16,47,99.93,3512.550
2026-04-16T22:00:00Z,N2EXMIDP,2026-04-16,47,0.00,0.000
2026-04-16T21:30:00Z,APXMIDP,2026-04-16,46,102.41,3710.200
2026-04-16T21:30:00Z,N2EXMIDP,2026-04-16,46,0.00,0.000
2026-04-16T21:00:00Z,APXMIDP,2026-04-16,45,99.89,2780.350
2026-04-16T21:00:00Z,N2EXMIDP,2026-04-16,45,0.00,0.000
2026-04-16T20:30:00Z,APXMIDP,2026-04-16,44,102.30,2267.250
2026-04-16T20:30:00Z,N2EXMIDP,2026-04-16,44,0.00,0.000
2026-04-16T20:00:00Z,APXMIDP,2026-04-16,43,109.03,2364.700
2026-04-16T20:00:00Z,N2EXMIDP,2026-04-16,43,0.00,0.000
2026-04-16T19:30:00Z,APXMIDP,2026-04-16,42,113.27,3218.950
2026-04-16T19:30:00Z,N2EXMIDP,2026-04-16,42,0.00,0.000
2026-04-16T19:00:00Z,APXMIDP,2026-04-16,41,110.83,2568.950
2026-04-16T19:00:00Z,N2EXMIDP,2026-04-16,41,0.00,0.000
2026-04-16T18:30:00Z,APXMIDP,2026-04-16,40,115.39,2936.300
2026-04-16T18:30:00Z,N2EXMIDP,2026-04-16,40,0.00,0.000
2026-04-16T18:00:00Z,APXMIDP,2026-04-16,39,108.46,2733.800
2026-04-16T18:00:00Z,N2EXMIDP,2026-04-16,39,0.00,0.000
2026-04-16T17:30:00Z,APXMIDP,2026-04-16,38,112.22,3432.900
2026-04-16T17:30:00Z,N2EXMIDP,2026-04-16,38,0.00,0.000
2026-04-16T17:00:00Z,APXMIDP,2026-04-16,37,102.45,3353.600
2026-04-16T17:00:00Z,N2EXMIDP,2026-04-16,37,0.00,0.000
2026-04-16T16:30:00Z,APXMIDP,2026-04-16,36,93.08,3298.300
2026-04-16T16:30:00Z,N2EXMIDP,2026-04-16,36,0.00,0.000
2026-04-16T16:00:00Z,APXMIDP,2026-04-16,35,86.68,3122.800
2026-04-16T16:00:00Z,N2EXMIDP,2026-04-16,35,0.00,0.000
2026-04-16T15:30:00Z,APXMIDP,2026-04-16,34,76.32,4159.200
2026-04-16T15:30:00Z,N2EXMIDP,2026-04-16,34,0.00,0.000
2026-04-16T15:00:00Z,APXMIDP,2026-04-16,33,85.72,4363.300
2026-04-16T15:00:00Z,N2EXMIDP,2026-04-16,33,0.00,0.000
2026-04-16T14:30:00Z,APXMIDP,2026-04-16,32,68.53,4324.150
2026-04-16T14:30:00Z,N2EXMIDP,2026-04-16,32,0.00,0.000
2026-04-16T14:00:00Z,APXMIDP,2026-04-16,31,71.36,4570.200
2026-04-16T14:00:00Z,N2EXMIDP,2026-04-16,31,0.00,0.000
2026-04-16T13:30:00Z,APXMIDP,2026-04-16,30,69.38,5046.050
2026-04-16T13:30:00Z,N2EXMIDP,2026-04-16,30,0.00,0.000
2026-04-16T13:00:00Z,APXMIDP,2026-04-16,29,73.38,5317.500
2026-04-16T13:00:00Z,N2EXMIDP,2026-04-16,29,0.00,0.000
2026-04-16T12:30:00Z,APXMIDP,2026-04-16,28,74.05,4627.500
2026-04-16T12:30:00Z,N2EXMIDP,2026-04-16,28,0.00,0.000
2026-04-16T12:00:00Z,APXMIDP,2026-04-16,27,83.29,4538.100
2026-04-16T12:00:00Z,N2EXMIDP,2026-04-16,27,0.00,0.000
2026-04-16T11:30:00Z,APXMIDP,2026-04-16,26,88.27,4621.450
2026-04-16T11:30:00Z,N2EXMIDP,2026-04-16,26,0.00,0.000
2026-04-16T11:00:00Z,APXMIDP,2026-04-16,25,88.92,4438.200
2026-04-16T11:00:00Z,N2EXMIDP,2026-04-16,25,0.00,0.000
2026-04-16T10:30:00Z,APXMIDP,2026-04-16,24,85.91,4556.650
2026-04-16T10:30:00Z,N2EXMIDP,2026-04-16,24,0.00,0.000
2026-04-16T10:00:00Z,APXMIDP,2026-04-16,23,80.47,3980.550
2026-04-16T10:00:00Z,N2EXMIDP,2026-04-16,23,0.00,0.000
2026-04-16T09:30:00Z,APXMIDP,2026-04-16,22,83.28,3775.750
2026-04-16T09:30:00Z,N2EXMIDP,2026-04-16,22,0.00,0.000
2026-04-16T09:00:00Z,APXMIDP,2026-04-16,21,79.49,3674.850
2026-04-16T09:00:00Z,N2EXMIDP,2026-04-16,21,0.00,0.000
2026-04-16T08:30:00Z,APXMIDP,2026-04-16,20,78.01,3010.700
2026-04-16T08:30:00Z,N2EXMIDP,2026-04-16,20,0.00,0.000
2026-04-16T08:00:00Z,APXMIDP,2026-04-16,19,97.08,3103.300
2026-04-16T08:00:00Z,N2EXMIDP,2026-04-16,19,0.00,0.000
2026-04-16T07:30:00Z,APXMIDP,2026-04-16,18,109.23,3544.550
2026-04-16T07:30:00Z,N2EXMIDP,2026-04-16,18,0.00,0.000
2026-04-16T07:00:00Z,APXMIDP,2026-04-16,17,108.89,3301.600
2026-04-16T07:00:00Z,N2EXMIDP,2026-04-16,17,0.00,0.000
2026-04-16T06:30:00Z,APXMIDP,2026-04-16,16,114.72,2686.200
2026-04-16T06:30:00Z,N2EXMIDP,2026-04-16,16,0.00,0.000
2026-04-16T06:00:00Z,APXMIDP,2026-04-16,15,111.42,2750.350
2026-04-16T06:00:00Z,N2EXMIDP,2026-04-16,15,0.00,0.000
2026-04-16T05:30:00Z,APXMIDP,2026-04-16,14,111.90,3118.500
2026-04-16T05:30:00Z,N2EXMIDP,2026-04-16,14,0.00,0.000
2026-04-16T05:00:00Z,APXMIDP,2026-04-16,13,108.64,2566.450
2026-04-16T05:00:00Z,N2EXMIDP,2026-04-16,13,0.00,0.000
2026-04-16T04:30:00Z,APXMIDP,2026-04-16,12,105.42,2914.450
2026-04-16T04:30:00Z,N2EXMIDP,2026-04-16,12,0.00,0.000
2026-04-16T04:00:00Z,APXMIDP,2026-04-16,11,99.19,2519.200
2026-04-16T04:00:00Z,N2EXMIDP,2026-04-16,11,0.00,0.000
2026-04-16T03:30:00Z,APXMIDP,2026-04-16,10,89.96,2200.800
2026-04-16T03:30:00Z,N2EXMIDP,2026-04-16,10,0.00,0.000
2026-04-16T03:00:00Z,APXMIDP,2026-04-16,9,89.97,2363.200
2026-04-16T03:00:00Z,N2EXMIDP,2026-04-16,9,0.00,0.000
2026-04-16T02:30:00Z,APXMIDP,2026-04-16,8,86.70,2221.400
2026-04-16T02:30:00Z,N2EXMIDP,2026-04-16,8,0.00,0.000
2026-04-16T02:00:00Z,APXMIDP,2026-04-16,7,87.05,2295.450
2026-04-16T02:00:00Z,N2EXMIDP,2026-04-16,7,0.00,0.000
2026-04-16T01:30:00Z,APXMIDP,2026-04-16,6,90.82,2218.200
2026-04-16T01:30:00Z,N2EXMIDP,2026-04-16,6,0.00,0.000
2026-04-16T01:00:00Z,APXMIDP,2026-04-16,5,92.14,2087.500
2026-04-16T01:00:00Z,N2EXMIDP,2026-04-16,5,0.00,0.000
2026-04-16T00:30:00Z,APXMIDP,2026-04-16,4,94.56,1818.800
2026-04-16T00:30:00Z,N2EXMIDP,2026-04-16,4,0.00,0.000
2026-04-16T00:00:00Z,APXMIDP,2026-04-16,3,92.56,1857.250
2026-04-16T00:00:00Z,N2EXMIDP,2026-04-16,3,0.00,0.000
2026-04-15T23:30:00Z,APXMIDP,2026-04-16,2,90.96,1734.700
2026-04-15T23:30:00Z,N2EXMIDP,2026-04-16,2,0.00,0.000
2026-04-15T23:00:00Z,APXMIDP,2026-04-16,1,92.28,1914.500
2026-04-15T23:00:00Z,N2EXMIDP,2026-04-16,1,0.00,0.000
2026-04-15T22:30:00Z,APXMIDP,2026-04-15,48,92.70,1799.050
2026-04-15T22:30:00Z,N2EXMIDP,2026-04-15,48,0.00,0.000
2026-04-15T22:00:00Z,APXMIDP,2026-04-15,47,101.19,2076.350
2026-04-15T22:00:00Z,N2EXMIDP,2026-04-15,47,0.00,0.000
2026-04-15T21:30:00Z,APXMIDP,2026-04-15,46,96.28,2602.450
2026-04-15T21:30:00Z,N2EXMIDP,2026-04-15,46,0.00,0.000
2026-04-15T21:00:00Z,APXMIDP,2026-04-15,45,101.91,2730.150
2026-04-15T21:00:00Z,N2EXMIDP,2026-04-15,45,0.00,0.000
2026-04-15T20:30:00Z,APXMIDP,2026-04-15,44,107.12,2431.450
2026-04-15T20:30:00Z,N2EXMIDP,2026-04-15,44,0.00,0.000
2026-04-15T20:00:00Z,APXMIDP,2026-04-15,43,110.03,3326.850
2026-04-15T20:00:00Z,N2EXMIDP,2026-04-15,43,0.00,0.000
2026-04-15T19:30:00Z,APXMIDP,2026-04-15,42,112.04,3218.450
2026-04-15T19:30:00Z,N2EXMIDP,2026-04-15,42,0.00,0.000
2026-04-15T19:00:00Z,APXMIDP,2026-04-15,41,111.23,3747.400
2026-04-15T19:00:00Z,N2EXMIDP,2026-04-15,41,0.00,0.000
2026-04-15T18:30:00Z,APXMIDP,2026-04-15,40,110.92,3631.400
2026-04-15T18:30:00Z,N2EXMIDP,2026-04-15,40,0.00,0.000
2026-04-15T18:00:00Z,APXMIDP,2026-04-15,39,103.60,3549.100
2026-04-15T18:00:00Z,N2EXMIDP,2026-04-15,39,0.00,0.000
2026-04-15T17:30:00Z,APXMIDP,2026-04-15,38,104.45,4536.800
2026-04-15T17:30:00Z,N2EXMIDP,2026-04-15,38,0.00,0.000
2026-04-15T17:00:00Z,APXMIDP,2026-04-15,37,103.10,4277.750
2026-04-15T17:00:00Z,N2EXMIDP,2026-04-15,37,0.00,0.000
2026-04-15T16:30:00Z,APXMIDP,2026-04-15,36,92.42,5122.700
2026-04-15T16:30:00Z,N2EXMIDP,2026-04-15,36,0.00,0.000
2026-04-15T16:00:00Z,APXMIDP,2026-04-15,35,103.93,4096.150
2026-04-15T16:00:00Z,N2EXMIDP,2026-04-15,35,0.00,0.000
2026-04-15T15:30:00Z,APXMIDP,2026-04-15,34,91.01,3988.800
2026-04-15T15:30:00Z,N2EXMIDP,2026-04-15,34,0.00,0.000
2026-04-15T15:00:00Z,APXMIDP,2026-04-15,33,89.43,4658.000
2026-04-15T15:00:00Z,N2EXMIDP,2026-04-15,33,0.00,0.000
2026-04-15T14:30:00Z,APXMIDP,2026-04-15,32,84.82,4341.600
2026-04-15T14:30:00Z,N2EXMIDP,2026-04-15,32,0.00,0.000
2026-04-15T14:00:00Z,APXMIDP,2026-04-15,31,83.41,3985.250
2026-04-15T14:00:00Z,N2EXMIDP,2026-04-15,31,0.00,0.000
2026-04-15T13:30:00Z,APXMIDP,2026-04-15,30,69.99,4079.350
2026-04-15T13:30:00Z,N2EXMIDP,2026-04-15,30,0.00,0.000
2026-04-15T13:00:00Z,APXMIDP,2026-04-15,29,64.45,4282.900
2026-04-15T13:00:00Z,N2EXMIDP,2026-04-15,29,0.00,0.000
2026-04-15T12:30:00Z,APXMIDP,2026-04-15,28,49.90,3872.500
2026-04-15T12:30:00Z,N2EXMIDP,2026-04-15,28,0.00,0.000
