StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-05-19T11:30:00Z,APXMIDP,2026-05-19,26,94.45,2898.500
2026-05-19T11:30:00Z,N2EXMIDP,2026-05-19,26,0.00,0.000
2026-05-19T11:00:00Z,APXMIDP,2026-05-19,25,92.94,3222.900
2026-05-19T11:00:00Z,N2EXMIDP,2026-05-19,25,0.00,0.000
2026-05-19T10:30:00Z,APXMIDP,2026-05-19,24,95.35,3262.950
2026-05-19T10:30:00Z,N2EXMIDP,2026-05-19,24,0.00,0.000
2026-05-19T10:00:00Z,APXMIDP,2026-05-19,23,87.96,3376.400
2026-05-19T10:00:00Z,N2EXMIDP,2026-05-19,23,0.00,0.000
2026-05-19T09:30:00Z,APXMIDP,2026-05-19,22,103.32,2738.000
2026-05-19T09:30:00Z,N2EXMIDP,2026-05-19,22,0.00,0.000
2026-05-19T09:00:00Z,APXMIDP,2026-05-19,21,102.14,2624.950
2026-05-19T09:00:00Z,N2EXMIDP,2026-05-19,21,0.00,0.000
2026-05-19T08:30:00Z,APXMIDP,2026-05-19,20,101.23,2595.950
2026-05-19T08:30:00Z,N2EXMIDP,2026-05-19,20,0.00,0.000
2026-05-19T08:00:00Z,APXMIDP,2026-05-19,19,105.06,2491.700
2026-05-19T08:00:00Z,N2EXMIDP,2026-05-19,19,0.00,0.000
2026-05-19T07:30:00Z,APXMIDP,2026-05-19,18,109.62,2669.850
2026-05-19T07:30:00Z,N2EXMIDP,2026-05-19,18,0.00,0.000
2026-05-19T07:00:00Z,APXMIDP,2026-05-19,17,108.06,2594.000
2026-05-19T07:00:00Z,N2EXMIDP,2026-05-19,17,0.00,0.000
2026-05-19T06:30:00Z,APXMIDP,2026-05-19,16,119.01,2904.550
2026-05-19T06:30:00Z,N2EXMIDP,2026-05-19,16,0.00,0.000
2026-05-19T06:00:00Z,APXMIDP,2026-05-19,15,98.85,2634.150
2026-05-19T06:00:00Z,N2EXMIDP,2026-05-19,15,0.00,0.000
2026-05-19T05:30:00Z,APXMIDP,2026-05-19,14,101.89,2476.650
2026-05-19T05:30:00Z,N2EXMIDP,2026-05-19,14,0.00,0.000
2026-05-19T05:00:00Z,APXMIDP,2026-05-19,13,89.95,2607.400
2026-05-19T05:00:00Z,N2EXMIDP,2026-05-19,13,0.00,0.000
2026-05-19T04:30:00Z,APXMIDP,2026-05-19,12,77.40,2682.100
2026-05-19T04:30:00Z,N2EXMIDP,2026-05-19,12,0.00,0.000
2026-05-19T04:00:00Z,APXMIDP,2026-05-19,11,77.52,2545.850
2026-05-19T04:00:00Z,N2EXMIDP,2026-05-19,11,0.00,0.000
2026-05-19T03:30:00Z,APXMIDP,2026-05-19,10,66.12,2208.150
2026-05-19T03:30:00Z,N2EXMIDP,2026-05-19,10,0.00,0.000
2026-05-19T03:00:00Z,APXMIDP,2026-05-19,9,65.58,2285.850
2026-05-19T03:00:00Z,N2EXMIDP,2026-05-19,9,0.00,0.000
2026-05-19T02:30:00Z,APXMIDP,2026-05-19,8,65.87,2517.350
2026-05-19T02:30:00Z,N2EXMIDP,2026-05-19,8,0.00,0.000
2026-05-19T02:00:00Z,APXMIDP,2026-05-19,7,67.38,2554.050
2026-05-19T02:00:00Z,N2EXMIDP,2026-05-19,7,0.00,0.000
2026-05-19T01:30:00Z,APXMIDP,2026-05-19,6,73.01,2270.400
2026-05-19T01:30:00Z,N2EXMIDP,2026-05-19,6,0.00,0.000
2026-05-19T01:00:00Z,APXMIDP,2026-05-19,5,73.91,1645.750
2026-05-19T01:00:00Z,N2EXMIDP,2026-05-19,5,0.00,0.000
2026-05-19T00:30:00Z,APXMIDP,2026-05-19,4,77.36,1466.300
2026-05-19T00:30:00Z,N2EXMIDP,2026-05-19,4,0.00,0.000
2026-05-19T00:00:00Z,APXMIDP,2026-05-19,3,92.20,1620.150
2026-05-19T00:00:00Z,N2EXMIDP,2026-05-19,3,0.00,0.000
2026-05-18T23:30:00Z,APXMIDP,2026-05-19,2,93.35,2225.500
2026-05-18T23:30:00Z,N2EXMIDP,2026-05-19,2,0.00,0.000
