StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-05-27T11:30:00Z,APXMIDP,2026-05-27,26,88.48,2495.200
2026-05-27T11:30:00Z,N2EXMIDP,2026-05-27,26,0.00,0.000
2026-05-27T11:00:00Z,APXMIDP,2026-05-27,25,88.40,2461.300
2026-05-27T11:00:00Z,N2EXMIDP,2026-05-27,25,0.00,0.000
2026-05-27T10:30:00Z,APXMIDP,2026-05-27,24,86.62,2402.400
2026-05-27T10:30:00Z,N2EXMIDP,2026-05-27,24,0.00,0.000
2026-05-27T10:00:00Z,APXMIDP,2026-05-27,23,92.52,2366.050
2026-05-27T10:00:00Z,N2EXMIDP,2026-05-27,23,0.00,0.000
2026-05-27T09:30:00Z,APXMIDP,2026-05-27,22,100.45,3039.750
2026-05-27T09:30:00Z,N2EXMIDP,2026-05-27,22,0.00,0.000
2026-05-27T09:00:00Z,APXMIDP,2026-05-27,21,94.52,2227.500
2026-05-27T09:00:00Z,N2EXMIDP,2026-05-27,21,0.00,0.000
2026-05-27T08:30:00Z,APXMIDP,2026-05-27,20,101.86,1996.500
2026-05-27T08:30:00Z,N2EXMIDP,2026-05-27,20,0.00,0.000
2026-05-27T08:00:00Z,APXMIDP,2026-05-27,19,101.61,1933.900
2026-05-27T08:00:00Z,N2EXMIDP,2026-05-27,19,0.00,0.000
2026-05-27T07:30:00Z,APXMIDP,2026-05-27,18,112.04,2162.000
2026-05-27T07:30:00Z,N2EXMIDP,2026-05-27,18,0.00,0.000
2026-05-27T07:00:00Z,APXMIDP,2026-05-27,17,114.96,2303.050
2026-05-27T07:00:00Z,N2EXMIDP,2026-05-27,17,0.00,0.000
2026-05-27T06:30:00Z,APXMIDP,2026-05-27,16,115.92,2269.600
2026-05-27T06:30:00Z,N2EXMIDP,2026-05-27,16,0.00,0.000
2026-05-27T06:00:00Z,APXMIDP,2026-05-27,15,123.19,2057.450
2026-05-27T06:00:00Z,N2EXMIDP,2026-05-27,15,0.00,0.000
2026-05-27T05:30:00Z,APXMIDP,2026-05-27,14,122.37,1979.050
2026-05-27T05:30:00Z,N2EXMIDP,2026-05-27,14,0.00,0.000
2026-05-27T05:00:00Z,APXMIDP,2026-05-27,13,116.54,1529.100
